name,gpu_chip,released,bus,memory,gpu_clock,memory_clock,shaders/TMUs/ROPs,TDP
Core i7-1265U,Alder Lake-U,10  / 12,1.8 to 4.8 GHz,BGA 1744,10 nm,12MB,15 W,15
Core i7-1355U,Raptor Lake-U,10  / 12,1.7 to 5 GHz,BGA 1744,10 nm,12MB,15 W,15
Core i7-1365U,Raptor Lake-U,10  / 12,1.8 to 5.2 GHz,BGA 1744,10 nm,12MB,15 W,15
Core i7-1365UE,Raptor Lake-U,10  / 12,1.7 to 4.9 GHz,BGA 1744,10 nm,12MB,15 W,15
Core i7-8550U,Kaby Lake-R,4  / 8,1.8 to 4 GHz,BGA 1356,14 nm,8MB,15 W,15
Core i7-8650U,Kaby Lake-R,4  / 8,1.9 to 4.2 GHz,BGA 1356,14 nm,8MB,15 W,15
Pentium 8505,Alder Lake-U,5  / 6,1.2 to 4.4 GHz,BGA 1744,10 nm,8MB,15 W,15
Pentium 8505 (IPU),Alder Lake-U,5  / 6,1.2 to 4.4 GHz,BGA 1744,10 nm,8MB,15 W,15
Processor N95,Gracemont,4,0.1 to 3.4 GHz,BGA 1744,10 nm,6MB,15 W,15
Processor U300,Raptor Lake-U,5  / 6,1.2 to 4.4 GHz,BGA 1744,10 nm,8MB,15 W,15
Processor U300E,Raptor Lake-U,5  / 6,1.1 to 4.3 GHz,BGA 1744,10 nm,8MB,15 W,15
A4-4355M,Trinity,2,1.9 to 2.4 GHz,Socket FP2,32 nm,N/A,17 W,17
A4-5145M,Richland,2,2 to 2.6 GHz,Socket FP2,32 nm,N/A,17 W,17
A6-4455M,Trinity,2,2.1 to 2.6 GHz,Socket FP2,32 nm,N/A,17 W,17
A6-5345M,Richland,2,2.2 to 2.8 GHz,Socket FP2,32 nm,N/A,17 W,17
Opteron X1150,Kyoto,4,2000 MHz,Socket FT3,28 nm,N/A,17 W,17
Celeron 1007U,Ivy Bridge,2,1500 MHz,BGA 1023,22 nm,2MB,17 W,17
Celeron 1037U,Ivy Bridge,2,1800 MHz,BGA 1023,22 nm,2MB,17 W,17
Celeron 1047UE,Ivy Bridge,2,1400 MHz,BGA 1023,22 nm,2MB,17 W,17
Celeron 725C,Sandy Bridge,1,1300 MHz,BGA 1023,32 nm,1.5MB,17 W,17
Celeron 787,Sandy Bridge,1,1300 MHz,BGA 1023,32 nm,1.5MB,17 W,17
Celeron 797,Sandy Bridge,1,1400 MHz,BGA 1023,32 nm,1.5MB,17 W,17
Celeron 807,Sandy Bridge,1,1500 MHz,BGA 1023,32 nm,1.5MB,17 W,17
Celeron 847,Sandy Bridge,2,1100 MHz,BGA 1023,32 nm,2MB,17 W,17
Celeron 857,Sandy Bridge,2,1200 MHz,BGA 1023,32 nm,2MB,17 W,17
Celeron 867,Sandy Bridge,2,1300 MHz,BGA 1023,32 nm,2MB,17 W,17
Celeron 877,Sandy Bridge,2,1400 MHz,BGA 1023,32 nm,2MB,17 W,17
Celeron 887,Sandy Bridge,2,1500 MHz,BGA 1023,32 nm,2MB,17 W,17
Celeron 947UE,Ivy Bridge,1,1400 MHz,BGA 1023,22 nm,1MB,17 W,17
Core i3-2340UE,Sandy Bridge,2  / 4,1300 MHz,BGA 1023,32 nm,3MB,17 W,17
Core i3-2357M,Sandy Bridge,2  / 4,1300 MHz,BGA 1023,32 nm,3MB,17 W,17
Core i3-2367M,Sandy Bridge,2  / 4,1400 MHz,BGA 1023,32 nm,3MB,17 W,17
Core i3-2377M,Sandy Bridge,2  / 4,1500 MHz,BGA 1023,32 nm,3MB,17 W,17
Core i3-3217U,Ivy Bridge,2  / 4,1800 MHz,BGA 1023,22 nm,3MB,17 W,17
Core i3-3217UE,Ivy Bridge,2  / 4,1600 MHz,BGA 1023,22 nm,3MB,17 W,17
Core i3-3227U,Ivy Bridge,2  / 4,1900 MHz,BGA 1023,22 nm,3MB,17 W,17
Core i5-2467M,Sandy Bridge,2  / 4,1600 MHz,BGA 1023,32 nm,3MB,17 W,17
Core i5-2537M,Sandy Bridge,2  / 4,1400 MHz,BGA 1023,32 nm,3MB,17 W,17
Core i5-2557M,Sandy Bridge,2  / 4,1700 MHz,BGA 1023,32 nm,3MB,17 W,17
Core i5-3317U,Ivy Bridge,2  / 4,1.7 to 2.6 GHz,BGA 1023,22 nm,3MB,17 W,17
Core i5-3337U,Ivy Bridge,2  / 4,1.8 to 2.8 GHz,BGA 1023,22 nm,3MB,17 W,17
Core i5-3427U,Ivy Bridge,2  / 4,1.8 to 2.8 GHz,BGA 1023,22 nm,3MB,17 W,17
Core i5-3437U,Ivy Bridge,2  / 4,1.9 to 2.9 GHz,BGA 1023,22 nm,3MB,17 W,17
Core i7-3517U,Ivy Bridge,2  / 4,1.9 to 3 GHz,BGA 1023,22 nm,4MB,17 W,17
Core i7-3517UE,Ivy Bridge,2  / 4,1.7 to 2.8 GHz,BGA 1023,22 nm,4MB,17 W,17
Core i7-3537U,Ivy Bridge,2  / 4,2 to 3.2 GHz,BGA 1023,22 nm,4MB,17 W,17
Core i7-3667U,Ivy Bridge,2  / 4,2 to 3.2 GHz,BGA 1023,22 nm,4MB,17 W,17
Core i7-3687U,Ivy Bridge,2  / 4,2.1 to 3.3 GHz,BGA 1023,22 nm,4MB,17 W,17
Pentium 2117U,Ivy Bridge,2,1800 MHz,BGA 1023,22 nm,2MB,17 W,17
Pentium 2117U,Ivy Bridge,2,1800 MHz,Socket G2 (988B),22 nm,2MB,17 W,17
Pentium 957,Sandy Bridge,2,1200 MHz,BGA 1023,32 nm,2MB,17 W,17
Pentium 967,Sandy Bridge,2,1300 MHz,BGA 1023,32 nm,2MB,17 W,17
Pentium 977,Sandy Bridge,2,1400 MHz,BGA 1023,32 nm,2MB,17 W,17
Pentium 987,Sandy Bridge,2,1500 MHz,BGA 1023,32 nm,2MB,17 W,17
Pentium 997,Sandy Bridge,2,1600 MHz,BGA 1023,32 nm,2MB,17 W,17
Xeon E3-1220L v2,Ivy Bridge,2  / 4,2.3 to 3.5 GHz,Socket 1155,22 nm,8MB,17 W,17
Nano L2200,CNA,1,1600 MHz,VIA nanoBGA2,65 nm,N/A,17 W,17
E-240,Zacate,1,1500 MHz,Socket FT1,40 nm,N/A,18 W,18
E-300,Zacate,2,1300 MHz,Socket FT1,40 nm,N/A,18 W,18
E-350,Zacate,2,1600 MHz,Socket FT1,40 nm,N/A,18 W,18
E-450,Zacate,2,1650 MHz,Socket FT1,40 nm,N/A,18 W,18
E1-1200,Zacate,2,1400 MHz,Socket FT1,40 nm,N/A,18 W,18
E1-1500,Zacate,2,1480 MHz,Socket FT1,40 nm,N/A,18 W,18
E2-1800,Zacate,2,1700 MHz,Socket FT1,40 nm,N/A,18 W,18
E2-2000,Zacate,2,1750 MHz,Socket FT1,40 nm,N/A,18 W,18
Core i7-620UE,Arrandale,2  / 4,1.067 to 2.133 GHz,BGA 1288,32 nm,4MB,18 W,18
Core i7-620UM,Arrandale,2  / 4,1.067 to 2.133 GHz,BGA 1288,32 nm,4MB,18 W,18
Core i7-640UM,Arrandale,2  / 4,1.2 to 2.267 GHz,BGA 1288,32 nm,4MB,18 W,18
Core i7-660UE,Arrandale,2  / 4,1.333 to 2.4 GHz,BGA 1288,32 nm,4MB,18 W,18
Core i7-660UM,Arrandale,2  / 4,1.333 to 2.4 GHz,BGA 1288,32 nm,4MB,18 W,18
Core i7-680UM,Arrandale,2  / 4,1.467 to 2.533 GHz,BGA 1288,32 nm,4MB,18 W,18
Pentium U5400,Arrandale,2,1200 MHz,BGA 1288,32 nm,3MB,18 W,18
Pentium U5600,Arrandale,2,1333 MHz,BGA 1288,32 nm,3MB,18 W,18
Nano QuadCore C4650,CNR,4,1.333 to 2 GHz,VIA nanoBGA2,28 nm,N/A,18 W,18
Nano QuadCore C4650 ES,CNR,4,2000 MHz,VIA Socket 2084,28 nm,N/A,18 W,18
A8-4555M,Trinity,4,1.6 to 2.4 GHz,Socket FP2,32 nm,N/A,19 W,19
Celeron 220,Conroe-L,1,1200 MHz,Socket 479,65 nm,N/A,19 W,19
Pentium III Xeon 600 2.8V,Cascades,1,600 MHz,Slot 2,180 nm,N/A,19 W,19
Pentium III Xeon 600 5V-12V,Cascades,1,600 MHz,Slot 2,180 nm,N/A,19 W,19
Xeon E3-1220L,Sandy Bridge,2  / 4,2.2 to 3.4 GHz,Socket 1155,32 nm,3MB,20 W,20
Pentium 4-M 1.40,Northwood,1,1400 MHz,Socket 478,130 nm,N/A,21 W,21
Pentium III Xeon 667 2.8V,Cascades,1,667 MHz,Slot 2,180 nm,N/A,21 W,21
Pentium III Xeon 667 5V-12V,Cascades,1,667 MHz,Slot 2,180 nm,N/A,21 W,21
Pentium M 715,Dothan,1,1500 MHz,Socket 479,90 nm,N/A,21 W,21
Pentium M 725,Dothan,1,1600 MHz,Socket 479,90 nm,N/A,21 W,21
Pentium M 735,Dothan,1,1700 MHz,Socket 479,90 nm,N/A,21 W,21
Pentium M 745,Dothan,1,1800 MHz,Socket 479,90 nm,N/A,21 W,21
Pentium M 755,Dothan,1,2000 MHz,Socket 479,90 nm,N/A,21 W,21
Pentium M 765,Dothan,1,2.1 GHz,Socket 479,90 nm,N/A,21 W,21
Athlon 64 2850e,Lima,1,1800 MHz,Socket AM2,65 nm,N/A,22 W,22
Opteron X2150,Kyoto,4,1900 MHz,Socket FT3,28 nm,N/A,22 W,22
Turion 64 MT-28,Lancaster,1,1600 MHz,Socket 754,90 nm,N/A,22 W,22
Turion 64 MT-30,Lancaster,1,1600 MHz,Socket 754,90 nm,N/A,22 W,22
Pentium III Xeon 733 2.8V,Cascades,1,733 MHz,Slot 2,180 nm,N/A,23 W,23
Pentium III Xeon 733 5V-12V,Cascades,1,733 MHz,Slot 2,180 nm,N/A,23 W,23
Pentium M 1.30,Banias,1,1300 MHz,Socket 478,130 nm,N/A,24 W,24
Pentium M 1.40,Banias,1,1400 MHz,Socket 478,130 nm,N/A,24 W,24
Pentium M 1.50,Banias,1,1500 MHz,Socket 478,130 nm,N/A,24 W,24
Pentium M 1.60,Banias,1,1600 MHz,Socket 478,130 nm,N/A,24 W,24
Pentium M 1.70,Banias,1,1700 MHz,Socket 478,130 nm,N/A,24 W,24
A10-4655M,Trinity,4,2 to 2.8 GHz,Socket FP2,32 nm,N/A,25 W,25
A10-5745M,Richland,4,2.1 to 2.9 GHz,Socket FP2,32 nm,N/A,25 W,25
A6-5200,Kabini,4,2000 MHz,Socket FT3,28 nm,N/A,25 W,25
A8-5545M,Richland,4,1.7 to 2.7 GHz,Socket FP2,32 nm,N/A,25 W,25
A9-9410 SoC,Stoney Ridge,2,2.9 to 3.5 GHz,Socket FP4,28 nm,N/A,25 W,25
Athlon 5150,Kabini,4,1600 MHz,Socket AM1,28 nm,N/A,25 W,25
Athlon 5350,Kabini,4,2.05 GHz,Socket AM1,28 nm,N/A,25 W,25
Athlon 5370,Kabini,4,2.2 GHz,Socket AM1,28 nm,N/A,25 W,25
Athlon 64 3100+,Lima,1,2000 MHz,Socket AM2,65 nm,N/A,25 W,25
Athlon II X2 250u,Regor,2,1600 MHz,Socket AM3,45 nm,N/A,25 W,25
Athlon II X2 260u,Regor,2,1800 MHz,Socket AM3,45 nm,N/A,25 W,25
Athlon II X2 270u,Regor,2,2000 MHz,Socket AM3,45 nm,N/A,25 W,25
Athlon X2 QL-62,Griffin,2,2000 MHz,Socket S1,65 nm,N/A,25 W,25
Athlon XP-M 1800+ (25W),Barton,1,1400 MHz,Socket 563,130 nm,N/A,25 W,25
Athlon XP-M 1800+ (25W),Barton,1,1400 MHz,Socket 563,130 nm,N/A,25 W,25
Athlon XP-M 2000+ (25W),Barton,1,1533 MHz,Socket 563,130 nm,N/A,25 W,25
Opteron 3320 EE,Delhi,4,1.9 to 2.5 GHz,Socket AM3+,32 nm,8MB,25 W,25
Opteron A1120,Seattle,4,1700 MHz,Socket SP1,28 nm,8MB,25 W,25
Opteron X2170,Steppe Eagle,4,2.4 GHz,Socket FT3,28 nm,N/A,25 W,25
Ryzen 3 4300U,Renoir,4,2.7 to 3.7 GHz,Socket FP6,7 nm,4MB,25 W,25
Ryzen 5 4500U,Renoir,6,2.3 to 4 GHz,Socket FP6,7 nm,11MB,25 W,25
Ryzen 5 4600U,Renoir,6  / 12,2.1 to 4 GHz,Socket FP6,7 nm,11MB,25 W,25
Ryzen 7 4700U,Renoir,8,1.8 to 4.2 GHz,Socket FP6,7 nm,12MB,25 W,25
Ryzen 7 4800U,Renoir,8  / 16,1.8 to 4.2 GHz,Socket FP6,7 nm,8MB,25 W,25
Ryzen Embedded R1505G,Zen,2  / 4,2.4 to 3.3 GHz,Socket FP5,14 nm,4MB,25 W,25
Ryzen Embedded R1600,Zen,2  / 4,2.6 to 3.1 GHz,Socket FP5,14 nm,4MB,25 W,25
Ryzen Embedded R1606G,Zen,2  / 4,2.6 to 3.5 GHz,Socket FP5,14 nm,4MB,25 W,25
Sempron 2600+,Paris,1,1600 MHz,Socket 754,130 nm,N/A,25 W,25
Sempron 2600+,Sonora,1,1600 MHz,Socket 754,90 nm,N/A,25 W,25
Sempron 2650,Kabini,2,1450 MHz,Socket AM1,28 nm,N/A,25 W,25
Sempron 2800+,Paris,1,1600 MHz,Socket 754,130 nm,N/A,25 W,25
Sempron 2800+,Roma,1,1600 MHz,Socket 754,90 nm,N/A,25 W,25
Sempron 2800+,Sonora,1,1600 MHz,Socket 754,90 nm,N/A,25 W,25
Sempron 3000+,Paris,1,1800 MHz,Socket 754,130 nm,N/A,25 W,25
Sempron 3000+,Sonora,1,1800 MHz,Socket 754,90 nm,N/A,25 W,25
Sempron 3000+,Roma,1,1800 MHz,Socket 754,90 nm,N/A,25 W,25
Sempron 3100+,Roma,1,1800 MHz,Socket 754,90 nm,N/A,25 W,25
Sempron 3100+,Sonora,1,1800 MHz,Socket 754,90 nm,N/A,25 W,25
Sempron 3100+,Paris,1,1800 MHz,Socket 754,130 nm,N/A,25 W,25
Sempron 3300+,Roma,1,2000 MHz,Socket 754,90 nm,N/A,25 W,25
Sempron 3400+,Roma,1,2000 MHz,Socket 754,90 nm,N/A,25 W,25
Sempron 3850,Kabini,4,1300 MHz,Socket AM1,28 nm,N/A,25 W,25
Turion 64 MT-32,Lancaster,1,1800 MHz,Socket 754,90 nm,N/A,25 W,25
Turion 64 MT-34,Lancaster,1,1800 MHz,Socket 754,90 nm,N/A,25 W,25
Turion 64 MT-37,Lancaster,1,2000 MHz,Socket 754,90 nm,N/A,25 W,25
Turion 64 MT-40,Lancaster,1,2.2 GHz,Socket 754,90 nm,N/A,25 W,25
Core 2 Duo P8400,Penryn,2,2.267 GHz,Socket P,45 nm,N/A,25 W,25
Core 2 Duo P8600,Penryn,2,2.4 GHz,Socket P,45 nm,N/A,25 W,25
Core 2 Duo P8700,Penryn,2,2.533 GHz,Socket P,45 nm,N/A,25 W,25
Core 2 Duo P8800,Penryn,2,2.667 GHz,Socket P,45 nm,N/A,25 W,25
Core 2 Duo P9500,Penryn,2,2.533 GHz,Socket P,45 nm,N/A,25 W,25
Core 2 Duo P9600,Penryn,2,2.667 GHz,Socket P,45 nm,N/A,25 W,25
Core i3-10110U,Comet Lake-U,2  / 4,2.1 to 4.1 GHz,BGA 1440,14 nm,4MB,25 W,25
Core i3-4102E,Haswell,2  / 4,1600 MHz,BGA 1364,22 nm,3MB,25 W,25
Core i3-9100HL,Coffee Lake,4,1.6 to 2.9 GHz,BGA 1440,14 nm,6MB,25 W,25
Core i5-10210U,Comet Lake-U,4  / 8,1.6 to 4.2 GHz,BGA 1440,14 nm,6MB,25 W,25
Core i7-10510U,Comet Lake-U,4  / 8,1.8 to 4.9 GHz,BGA 1440,14 nm,8MB,25 W,25
Core i7-10610U,Comet Lake-U,4  / 8,1.8 to 4.9 GHz,BGA 1440,14 nm,8MB,25 W,25
Core i7-10710U,Comet Lake-U,6  / 12,1.1 to 4.7 GHz,BGA 1440,14 nm,12MB,25 W,25
Core i7-10810U,Comet Lake-U,6  / 12,1.1 to 4.9 GHz,BGA 1440,14 nm,12MB,25 W,25
Core i7-3555LE,Ivy Bridge,2  / 4,2.5 to 3.2 GHz,BGA 1023,22 nm,4MB,25 W,25
Core i7-620LE,Arrandale,2  / 4,2 to 2.8 GHz,BGA 1288,32 nm,4MB,25 W,25
Core i7-620LM,Arrandale,2  / 4,2 to 2.8 GHz,BGA 1288,32 nm,4MB,25 W,25
Core i7-640LM,Arrandale,2  / 4,2.133 to 2.933 GHz,BGA 1288,32 nm,4MB,25 W,25
Core i7-9850HL,Coffee Lake-HR,6  / 12,1.9 to 4.1 GHz,BGA 1440,14 nm,9MB,25 W,25
Pentium III Xeon 800 2.8V,Cascades,1,800 MHz,Slot 2,180 nm,N/A,25 W,25
Pentium III Xeon 800 5V-12V,Cascades,1,800 MHz,Slot 2,180 nm,N/A,25 W,25
Pentium III Xeon 866 2.8V,Cascades,1,866 MHz,Slot 2,180 nm,N/A,25 W,25
Pentium III Xeon 866 5V-12V,Cascades,1,866 MHz,Slot 2,180 nm,N/A,25 W,25
Xeon E3-1105C,Gladden,4,1000 MHz,BGA 1283,32 nm,6MB,25 W,25
Xeon E3-1230L v3,Haswell-WS,4  / 8,1.8 to 2.8 GHz,Socket 1150,22 nm,8MB,25 W,25
Xeon E3-1235L v5,Skylake-DT,4,2 to 3 GHz,Socket 1151,14 nm,8MB,25 W,25
Xeon E3-1240L v3,Haswell-WS,4  / 8,2 to 3 GHz,Socket 1150,22 nm,8MB,25 W,25
Xeon E3-1240L v5,Skylake-DT,4  / 8,2.1 to 3.2 GHz,Socket 1151,14 nm,8MB,25 W,25
Nano L2100,CNA,1,1800 MHz,VIA nanoBGA2,65 nm,N/A,25 W,25
Pentium 4-M 1.50,Northwood,1,1500 MHz,Socket 478,130 nm,N/A,26 W,26
Athlon XP-M 2200+,Barton,1,1667 MHz,Socket 563,130 nm,N/A,27 W,27
Core Solo T1200,Yonah,1,1500 MHz,Socket 479,65 nm,N/A,27 W,27
Core Solo T1300,Yonah,1,1660 MHz,Socket 479,65 nm,N/A,27 W,27
Core Solo T1350,Yonah,1,1866 MHz,Socket 479,65 nm,N/A,27 W,27
Core Solo T1400,Yonah,1,1833 MHz,Socket 479,65 nm,N/A,27 W,27
Pentium III  933,Coppermine T,1,933 MHz,Socket 370,180 nm,N/A,27 W,27
Pentium M 730,Dothan,1,1600 MHz,Socket 479,90 nm,N/A,27 W,27
Pentium M 740,Dothan,1,1730 MHz,Socket 479,90 nm,N/A,27 W,27
Pentium M 750,Dothan,1,1860 MHz,Socket 479,90 nm,N/A,27 W,27
Pentium M 760,Dothan,1,2000 MHz,Socket 479,90 nm,N/A,27 W,27
Pentium M 770,Dothan,1,2.13 GHz,Socket 479,90 nm,N/A,27 W,27
Pentium M 780,Dothan,1,2.26 GHz,Socket 479,90 nm,N/A,27 W,27
Ryzen 3 7335U,Rembrandt-R,4  / 8,3 to 4.3 GHz,Socket FP7,6 nm,8MB,28 W,28
Ryzen 5 7535U,Rembrandt-R,6  / 12,2.9 to 4.55 GHz,Socket FP7,6 nm,16MB,28 W,28
Ryzen 7 7735U,Rembrandt-R,8  / 16,2.7 to 4.75 GHz,Socket FP7,6 nm,16MB,28 W,28
Core 2 Duo P9700,Penryn,2,2.8 GHz,Socket P,45 nm,N/A,28 W,28
Core i3-1115G4,Tiger Lake-U,2  / 4,3 to 4.1 GHz,BGA 1449,10 nm,6MB,28 W,28
Core i3-1125G4,Tiger Lake-U,4  / 8,2 to 3.7 GHz,BGA 1449,10 nm,8MB,28 W,28
Core i3-1220P,Alder Lake-P,10  / 12,1.5 to 4.4 GHz,BGA 1744,10 nm,12MB,28 W,28
Core i3-4158U,Haswell,2  / 4,2000 MHz,BGA 1168,22 nm,3MB,28 W,28
Core i3-5157U,Broadwell-U,2  / 4,2.5 GHz,BGA 1168,14 nm,3MB,28 W,28
Core i3-8109U,Kaby Lake-R,2  / 4,3 to 3.6 GHz,BGA 1356,14 nm,4MB,28 W,28
Core i3-8145U,Whiskey Lake-U,2  / 4,2.1 to 3.9 GHz,BGA 1440,10 nm,4MB,28 W,28
Core i5-1038NG7,Ice Lake-U,4  / 8,2 to 3.8 GHz,BGA 1526,10 nm,6MB,28 W,28
Core i5-11300H,Tiger Lake-H,4  / 8,2.6 to 4.4 GHz,BGA 1449,10 nm,8MB,28 W,28
Core i5-11320H,Tiger Lake-H,4  / 8,2.5 to 4.5 GHz,BGA 1449,10 nm,8MB,28 W,28
Core i5-1135G7,Tiger Lake-U,4  / 8,2.4 to 4.2 GHz,BGA 1449,10 nm,8MB,28 W,28
Core i5-1145G7,Tiger Lake-U,4  / 8,2.6 to 4.4 GHz,BGA 1449,10 nm,8MB,28 W,28
